date,commodity,spot_price,future_price_3m,year,month,day_of_year,quarter,spot_future_spread,spot_future_spread_pct
2021-01-01,Barley,4.8,4.968520584264733,2021,1,1,1,0.1685205842647335,3.510845505515281
2021-01-02,Barley,4.846289501539037,4.991752991993535,2021,1,2,1,0.1454634904544987,3.00154356045597
2021-01-03,Barley,5.045081388566096,5.114244691144171,2021,1,3,1,0.06916330257807424,1.3709055860787946
2021-01-04,Barley,5.165355609327046,5.243909919553645,2021,1,4,1,0.07855431022659953,1.5207919099462306
2021-01-05,Barley,5.283913107043129,5.504522140620461,2021,1,5,1,0.22060903357733164,4.175107143288815
2021-01-06,Barley,5.365439420078202,5.497837928982695,2021,1,6,1,0.132398508904493,2.4676172544049204
2021-01-07,Barley,5.579357707261565,5.7072646846322215,2021,1,7,1,0.1279069773706567,2.292503619264007
2021-01-08,Barley,5.552225447714317,5.727917928791928,2021,1,8,1,0.17569248107761126,3.164361439068338
2021-01-09,Barley,5.680919593268113,5.826112365900715,2021,1,9,1,0.1451927726326021,2.555797001680071
2021-01-10,Barley,5.744449448542326,5.934019073742334,2021,1,10,1,0.18956962520000786,3.3000486277777554
2021-01-11,Barley,5.765221426918997,5.938021254006666,2021,1,11,1,0.17279982708766894,2.997279970563337
2021-01-12,Barley,5.729759299138663,5.844354738371432,2021,1,12,1,0.11459543923276883,2.0000044199063582
2021-01-13,Barley,5.4798634173798355,5.627206105582173,2021,1,13,1,0.14734268820233787,2.688802201438606
2021-01-14,Barley,5.84148450300414,6.0542753737510795,2021,1,14,1,0.21279087074693948,3.6427533213090966
2021-01-15,Barley,5.865076431626557,6.0552174025372425,2021,1,15,1,0.1901409709106856,3.2419180402386325
2021-01-16,Barley,6.039025455100579,6.227325742293614,2021,1,16,1,0.1883002871930346,3.11805751760817
2021-01-17,Barley,6.2659106885783284,6.587814596859726,2021,1,17,1,0.3219039082813975,5.137384241179381
2021-01-18,Barley,6.2790529773461765,6.525884906124492,2021,1,18,1,0.24683192877831583,3.931037525385534
2021-01-19,Barley,7.454047167149996,7.756118050450828,2021,1,19,1,0.3020708833008321,4.052441264821334
2021-01-20,Barley,7.936296940938538,8.177086697377819,2021,1,20,1,0.24078975643928047,3.0340315922050785
2021-01-21,Barley,8.2075425949219,8.488252468228154,2021,1,21,1,0.28070987330625385,3.420145190351278
2021-01-22,Barley,8.641497672009546,8.880772101954957,2021,1,22,1,0.23927442994541082,2.7689000104743244
2021-01-23,Barley,8.813862770909553,9.164438548887485,2021,1,23,1,0.35057577797793193,3.9775497655241345
2021-01-24,Barley,9.395753653830583,9.68604486772995,2021,1,24,1,0.2902912138993674,3.0896000959009573
2021-01-25,Barley,9.714642430801513,10.04711419174143,2021,1,25,1,0.33247176093991726,3.4223777489305536
2021-01-26,Barley,10.051569834283262,10.389364026178205,2021,1,26,1,0.3377941918949432,3.360611302155172
2021-01-27,Barley,10.80266232263739,11.146385010109002,2021,1,27,1,0.3437226874716117,3.18183311859455
2021-01-28,Barley,11.10110188186167,11.782508392896908,2021,1,28,1,0.6814065110352381,6.138188067155774
2021-01-29,Barley,11.727830444372342,12.024941040018177,2021,1,29,1,0.29711059564583486,2.5333807225052856
