date,commodity,spot_price,future_price_3m,year,month,day_of_year,quarter,spot_future_spread,spot_future_spread_pct
2021-01-01,Corn_CBOT,4.0,4.186807948367864,2021,1,1,1,0.18680794836786419,4.670198709196605
2021-01-02,Corn_CBOT,4.055379689270991,4.202764211268264,2021,1,2,1,0.1473845219972736,3.634296497247782
2021-01-03,Corn_CBOT,4.052934787643645,4.198013554665631,2021,1,3,1,0.1450787670219862,3.5795978623760245
2021-01-04,Corn_CBOT,4.04655441051154,4.2106040640533156,2021,1,4,1,0.1640496535417757,4.054057771115885
2021-01-05,Corn_CBOT,4.045950544088947,4.152694733072595,2021,1,5,1,0.10674418898364824,2.6382969297437255
2021-01-06,Corn_CBOT,4.23452220141627,4.384002168118455,2021,1,6,1,0.14947996670218533,3.530031479164062
2021-01-07,Corn_CBOT,4.3519624571926805,4.410610219398239,2021,1,7,1,0.058647762205558784,1.3476164553908097
2021-01-08,Corn_CBOT,4.344258543373997,4.534383091650732,2021,1,8,1,0.19012454827673508,4.37645564550294
2021-01-09,Corn_CBOT,4.452631732693544,4.538946300611513,2021,1,9,1,0.08631456791796843,1.9385067775581317
2021-01-10,Corn_CBOT,4.536536067307439,4.763518012422932,2021,1,10,1,0.22698194511549374,5.003419828429005
2021-01-11,Corn_CBOT,4.383978916555111,4.5229457833157385,2021,1,11,1,0.13896686676062764,3.1698799060335467
2021-01-12,Corn_CBOT,4.341398902218617,4.484158555766348,2021,1,12,1,0.14275965354773135,3.2883330180688035
2021-01-13,Corn_CBOT,4.449345803224381,4.577142854131447,2021,1,13,1,0.1277970509070654,2.8722660939154823
2021-01-14,Corn_CBOT,4.694259777173953,4.845037576373892,2021,1,14,1,0.15077779919993883,3.2119611260779086
2021-01-15,Corn_CBOT,4.760680801097135,4.994836378541542,2021,1,15,1,0.2341555774444073,4.918531345148038
2021-01-16,Corn_CBOT,4.79671294443508,4.8452648576295125,2021,1,16,1,0.04855191319443275,1.0121913434649115
2021-01-17,Corn_CBOT,4.918212327505001,5.153153628004238,2021,1,17,1,0.23494130049923623,4.7769653860881895
2021-01-18,Corn_CBOT,4.9620465213679665,5.152491032001259,2021,1,18,1,0.19044451063329237,3.8380234811016947
2021-01-19,Corn_CBOT,5.051370078493293,5.167196900879762,2021,1,19,1,0.11582682238646846,2.2929783521427702
2021-01-20,Corn_CBOT,5.184292549634303,5.309995448593357,2021,1,20,1,0.1257028989590543,2.4246876069507555
2021-01-21,Corn_CBOT,5.192375166263354,5.461152912316301,2021,1,21,1,0.2687777460529466,5.176393027208202
2021-01-22,Corn_CBOT,5.451514733651566,5.590773302461603,2021,1,22,1,0.13925856881003718,2.5544931200572614
2021-01-23,Corn_CBOT,5.452369924662921,5.580317935660443,2021,1,23,1,0.12794801099752195,2.346649489404041
2021-01-24,Corn_CBOT,5.445818472971673,5.698358204969573,2021,1,24,1,0.25253973199789925,4.63731454236471
2021-01-25,Corn_CBOT,5.654069675675474,5.871104129838324,2021,1,25,1,0.2170344541628504,3.8385528762859114
2021-01-26,Corn_CBOT,5.954228135974652,6.106779892161131,2021,1,26,1,0.15255175618647954,2.5620744234635917
2021-01-27,Corn_CBOT,6.193625347366442,6.423819173909655,2021,1,27,1,0.2301938265432124,3.7166249754046214
2021-01-28,Corn_CBOT,6.40617285725085,6.564677417252744,2021,1,28,1,0.1585045600018944,2.474247316359727
2021-01-29,Corn_CBOT,6.604485094277781,6.908345657750943,2021,1,29,1,0.3038605634731626,4.600821398422592
2021-01-30,Corn_CBOT,6.79094779114191,7.1007081119267506,2021,1,30,1,0.3097603207848403,4.56137096487313
2021-01-31,Corn_CBOT,7.248862077540634,7.541136645851125,2021,1,31,1,0.29227456831049103,4.032006198821938
2021-02-01,Corn_CBOT,7.613811654839847,7.907831254791485,2021,2,32,1,0.2940195999516373,3.861661061247014
2021-02-02,Corn_CBOT,7.871510182754733,8.28564514173755,2021,2,33,1,0.4141349589828174,5.261188124867364
2021-02-03,Corn_CBOT,9.154300255230858,9.474672049631238,2021,2,34,1,0.3203717944003799,3.499686327388227
2021-02-04,Corn_CBOT,9.71442197410743,9.939614503455019,2021,2,35,1,0.2251925293475896,2.3181258745791773
2021-02-05,Corn_CBOT,10.389034653082575,10.799346866501178,2021,2,36,1,0.410312213418603,3.949473912832291
2021-02-06,Corn_CBOT,11.086543705817048,11.705843253391484,2021,2,37,1,0.6192995475744354,5.58604704953711
2021-02-07,Corn_CBOT,11.216525700322313,11.49528334048394,2021,2,38,1,0.2787576401616274,2.4852405068141303
2021-02-08,Corn_CBOT,12.092192279418068,12.47171023643056,2021,2,39,1,0.37951795701249225,3.138537233306022
2021-02-09,Corn_CBOT,13.074158687359963,13.586201057286168,2021,2,40,1,0.5120423699262044,3.916446038101439
2021-02-10,Corn_CBOT,13.471343595320425,13.935578913732538,2021,2,41,1,0.4642353184121131,3.4460951509942603
2021-02-11,Corn_CBOT,13.848468712812835,14.19713111376789,2021,2,42,1,0.34866240095505496,2.517696419622674
2021-02-12,Corn_CBOT,14.584316457129685,15.258382833081045,2021,2,43,1,0.6740663759513605,4.621857856230462
2021-02-13,Corn_CBOT,15.947823830698725,16.875993671920963,2021,2,44,1,0.9281698412222372,5.82004072201725
2021-02-14,Corn_CBOT,16.994300138393296,17.622431812049392,2021,2,45,1,0.628131673656096,3.6961314590238956
2021-02-15,Corn_CBOT,17.814117182076707,18.276559498909823,2021,2,46,1,0.46244231683311554,2.595931710263992
2021-02-16,Corn_CBOT,18.842186408952376,19.209804903734046,2021,2,47,1,0.3676184947816701,1.9510394749465259
2021-02-17,Corn_CBOT,19.30895940086316,20.034585457371342,2021,2,48,1,0.7256260565081831,3.757975981221162
2021-02-18,Corn_CBOT,20.994547606428124,21.961110827012213,2021,2,49,1,0.9665632205840886,4.603877343316251
