date,commodity,spot_price,future_price_3m,year,month,day_of_year,quarter,spot_future_spread,spot_future_spread_pct
2021-01-01,Diesel,2.8,2.9335550617065604,2021,1,1,1,0.13355506170656062,4.7698236323771654
2021-01-02,Diesel,2.8581801447754396,2.995588667719526,2021,1,2,1,0.13740852294408645,4.807552917728435
2021-01-03,Diesel,2.9025486606517554,3.0111468436288003,2021,1,3,1,0.10859818297704482,3.741476739020787
2021-01-04,Diesel,2.9145898406915873,3.076594487155635,2021,1,4,1,0.16200464646404766,5.558402908095173
2021-01-05,Diesel,2.8720359314625403,2.988576672373301,2021,1,5,1,0.11654074091076083,4.057774473991843
2021-01-06,Diesel,2.8524278545585005,2.9936273051568048,2021,1,6,1,0.1411994505983043,4.950149760059722
2021-01-07,Diesel,2.7871822650915363,2.9080301558911312,2021,1,7,1,0.1208478907995949,4.335844566506167
2021-01-08,Diesel,2.848711860366133,2.987604260660187,2021,1,8,1,0.1388924002940537,4.875621231703034
2021-01-09,Diesel,2.6841317713150876,2.799164853306025,2021,1,9,1,0.11503308199093754,4.285671933855065
2021-01-10,Diesel,2.566846797303845,2.692458907404943,2021,1,10,1,0.12561211010109785,4.893634876574551
2021-01-11,Diesel,2.533693049927307,2.64752202589141,2021,1,11,1,0.11382897596410269,4.492611130119668
2021-01-12,Diesel,2.6002177946657046,2.738389222763929,2021,1,12,1,0.13817142809822425,5.313840570650666
2021-01-13,Diesel,2.6536551290868426,2.7513445322555095,2021,1,13,1,0.09768940316866681,3.68131495678879
2021-01-14,Diesel,2.844552484734048,2.922211858574912,2021,1,14,1,0.07765937384086374,2.7301086641094097
2021-01-15,Diesel,2.8972330362441605,2.9994080901585694,2021,1,15,1,0.10217505391440884,3.5266425805659
2021-01-16,Diesel,3.0640667043678698,3.2347020793225894,2021,1,16,1,0.1706353749547196,5.568918415238039
2021-01-17,Diesel,3.1711611024257826,3.3089620428582944,2021,1,17,1,0.1378009404325118,4.345441180112257
2021-01-18,Diesel,3.061068368907299,3.2016345353167934,2021,1,18,1,0.14056616640949438,4.592062295546567
2021-01-19,Diesel,3.055336995677282,3.160635011213799,2021,1,19,1,0.10529801553651685,3.446363385953609
2021-01-20,Diesel,3.068629187291792,3.2087291014632404,2021,1,20,1,0.14009991417144851,4.5655537251502585
2021-01-21,Diesel,3.1101799649574917,3.218326749445578,2021,1,21,1,0.10814678448808612,3.4771873559273034
2021-01-22,Diesel,3.2016463089909855,3.3176809740280193,2021,1,22,1,0.11603466503703386,3.624218724947252
2021-01-23,Diesel,3.461290799076284,3.60311775435335,2021,1,23,1,0.14182695527706635,4.097516317176118
2021-01-24,Diesel,3.5974052934300986,3.7753004839489783,2021,1,24,1,0.1778951905188797,4.945097257842137
2021-01-25,Diesel,3.6888095282495925,3.8751625631569797,2021,1,25,1,0.1863530349073872,5.051847580642503
2021-01-26,Diesel,3.9849835905847684,4.187382696326024,2021,1,26,1,0.20239910574125553,5.079044897937832
2021-01-27,Diesel,4.311586575358949,4.437136349740441,2021,1,27,1,0.12554977438149173,2.911915884955631
2021-01-28,Diesel,4.205406810929487,4.394369848067988,2021,1,28,1,0.1889630371385005,4.493335499609739
2021-01-29,Diesel,4.4263040434997265,4.616777563209321,2021,1,29,1,0.19047351970959436,4.303218166617255
2021-01-30,Diesel,4.867347726102495,5.011801727788224,2021,1,30,1,0.14445400168572853,2.967817583918529
2021-01-31,Diesel,5.115228375280225,5.346231258338648,2021,1,31,1,0.23100288305842298,4.515983766722206
2021-02-01,Diesel,5.243348547671409,5.466168460448178,2021,2,32,1,0.22281991277676916,4.249572782563241
2021-02-02,Diesel,5.719245757080551,6.005867226448156,2021,2,33,1,0.2866214693676046,5.011525672117883
2021-02-03,Diesel,5.857864672657371,6.12622792670357,2021,2,34,1,0.2683632540461991,4.581247076239785
2021-02-04,Diesel,6.271110061921738,6.518861519661422,2021,2,35,1,0.24775145773968354,3.950679469716751
2021-02-05,Diesel,6.645617199874952,7.006192602506876,2021,2,36,1,0.3605754026319241,5.425762450456956
2021-02-06,Diesel,6.741850110113647,6.895481131850873,2021,2,37,1,0.1536310217372252,2.2787664992248757
2021-02-07,Diesel,7.4654773208967065,7.7966261017489,2021,2,38,1,0.33114878085219335,4.43573487157038
2021-02-08,Diesel,8.1067226460975,8.32858330256057,2021,2,39,1,0.22186065646307007,2.73674906800804
2021-02-09,Diesel,9.108368645668866,9.435159308821525,2021,2,40,1,0.3267906631526589,3.587806728793873
2021-02-10,Diesel,9.784496389762806,10.276149105126061,2021,2,41,1,0.49165271536325506,5.024813703009334
2021-02-11,Diesel,10.223794511205682,10.553593932142709,2021,2,42,1,0.32979942093702697,3.2258025195591893
