date,commodity,spot_price,future_price_3m,year,month,day_of_year,quarter,spot_future_spread,spot_future_spread_pct
2021-01-01,Wheat,5.5,5.7084691954780755,2021,1,1,1,0.20846919547807552,3.790349008692282
2021-01-02,Wheat,5.756615699278894,5.939077256722224,2021,1,2,1,0.1824615574433297,3.169597676394932
2021-01-03,Wheat,5.687157276504689,5.827933256068359,2021,1,3,1,0.14077597956366983,2.4753312194346475
2021-01-04,Wheat,5.835633499586659,6.055122901671926,2021,1,4,1,0.21948940208526757,3.761192372701509
2021-01-05,Wheat,5.86567446834733,5.953302781650154,2021,1,5,1,0.08762831330282417,1.493917089597945
2021-01-06,Wheat,5.9888685546870235,6.1435158060156585,2021,1,6,1,0.154647251328635,2.582244875079193
2021-01-07,Wheat,5.9046705986069306,5.9772356462729075,2021,1,7,1,0.07256504766597693,1.2289431976628291
2021-01-08,Wheat,6.069407931900701,6.208782393879635,2021,1,8,1,0.13937446197893433,2.296343622684918
2021-01-09,Wheat,6.671796135649398,6.914785959348961,2021,1,9,1,0.24298982369956335,3.6420450918935634
2021-01-10,Wheat,6.596280681993832,6.827506268097355,2021,1,10,1,0.2312255861035224,3.5053933762204723
2021-01-11,Wheat,6.6844337233414075,6.888370027275823,2021,1,11,1,0.2039363039344151,3.050913695535478
2021-01-12,Wheat,6.805299102964762,7.021054373374049,2021,1,12,1,0.21575527040928755,3.170400994062005
2021-01-13,Wheat,6.975625616713764,7.053343529834899,2021,1,13,1,0.07771791312113585,1.1141353821357887
2021-01-14,Wheat,7.139174646146878,7.326752013655659,2021,1,14,1,0.18757736750878085,2.627437719429083
2021-01-15,Wheat,7.005809043818687,7.168249122669406,2021,1,15,1,0.16244007885071898,2.3186483935647932
2021-01-16,Wheat,7.3317613474321535,7.503393504209467,2021,1,16,1,0.17163215677731358,2.3409403094854597
2021-01-17,Wheat,7.558247914983874,7.830312991568812,2021,1,17,1,0.27206507658493795,3.599578627813751
2021-01-18,Wheat,7.728881600503996,7.894240456089858,2021,1,18,1,0.16535885558586205,2.139492673494689
2021-01-19,Wheat,7.975855096846918,8.166902281347781,2021,1,19,1,0.19104718450086278,2.395319149872584
2021-01-20,Wheat,8.729207862976414,8.808899486163469,2021,1,20,1,0.07969162318705436,0.9129307542904787
2021-01-21,Wheat,9.41569338880655,9.670470453621121,2021,1,21,1,0.2547770648145704,2.7058768196238354
2021-01-22,Wheat,9.50203416792968,9.683728497492254,2021,1,22,1,0.1816943295625748,1.9121624522863898
